a	 a_0
tỡm	t 7_3 m
tợm	t 7_5 m
tụm	t u_5 m
tủm	t u_2 m
tứm	t M_4 m
từm	t M_1 m
tửm	t M_2 m
tữm	t M_3 m
tựm	t M_5 m
tăn	t a_X_0 n
tĩn	t i_3 n
tũn	t u_3 n
tơn	t 7_0 n
tưn	t M_0 n
tạn	t a_5 n
tản	t a_2 n
tấn	t 7_X_4 n
tần	t 7_X_1 n
tẩn	t 7_X_2 n
tẫn	t 7_X_3 n
tận	t 7_X_5 n
tắn	t a_X_4 n
tằn	t a_X_1 n
tẳn	t a_X_2 n
tẵn	t a_X_3 n
tặn	t a_X_5 n
tẹn	t E_5 n
tẻn	t E_2 n
tẽn	t E_3 n
tến	t e_4 n
tền	t e_1 n
tển	t e_2 n
tễn	t e_3 n
tện	t e_5 n
tỉn	t i_2 n
tịn	t i_5 n
tọn	t O_5 n
tỏn	t O_2 n
tốn	t o_4 n
tồn	t o_1 n
tổn	t o_2 n
tỗn	t o_3 n
tộn	t o_5 n
tớn	t 7_4 n
tờn	t 7_1 n
tởn	t 7_2 n
tỡn	t 7_3 n
tợn	t 7_5 n
tụn	t u_5 n
tủn	t u_2 n
tứn	t M_4 n
từn	t M_1 n
tửn	t M_2 n
tữn	t M_3 n
tựn	t M_5 n
tăng	t a_X_0 N
tũng	t u_3 Nm 
tưng	t M_0 N
tạng	t a_5 N
tảng	t a_2 N
tấng	t 7_X_4 N
tầng	t 7_X_1 N
tẩng	t 7_X_2 N
tẫng	t 7_X_3 N
tậng	t 7_X_5 N
tắng	t a_X_4 N
tằng	t a_X_1 N
tẳng	t a_X_2 N
tẵng	t a_X_3 N
tặng	t a_X_5 N
tẹng	t E_5 N
tẻng	t E_2 N
tẽng	t E_3 N
tọng	t O_5 Nm 
tỏng	t O_2 Nm 
tống	t o_4 Nm 
tồng	t o_1 Nm 
tổng	t o_2 Nm 
tỗng	t o_3 Nm 
tộng	t o_5 Nm 
tụng	t u_5 Nm 
tủng	t u_2 Nm 
tứng	t M_4 N
từng	t M_1 N
tửng	t M_2 N
tững	t M_3 N
tựng	t M_5 N
tĩnh	t i_3 N_+ 
tạnh	t a_5 N_+ 
tảnh	t a_2 N_+ 
tếnh	t e_4 N_+ 
tềnh	t e_1 N_+ 
tểnh	t e_2 N_+ 
tễnh	t e_3 N_+ 
tệnh	t e_5 N_+ 
tỉnh	t i_2 N_+ 
tịnh	t i_5 N_+ 
tạo	t a_5 O
tảo	t a_2 O
tẹo	t E_5 O
tẻo	t E_2 O
tẽo	t E_3 O
tạp	t a_5 p
tấp	t 7_X_4 p
tập	t 7_X_5 p
tắp	t a_X_4 p
tặp	t a_X_5 p
tẹp	t E_5 p
tếp	t e_4 p
tệp	t e_5 p
tịp	t i_5 p
tọp	t O_5 p
tốp	t o_4 p
tộp	t o_5 p
tớp	t 7_4 p
tợp	t 7_5 p
tụp	t u_5 p
tạt	t a_5 t
tất	t 7_X_4 t
tật	t 7_X_5 t
tắt	t a_X_4 t
tặt	t a_X_5 t
tẹt	t E_5 t
tết	t e_4 t
tệt	t e_5 t
tịt	t i_5 t
tọt	t O_5 t
tốt	t o_4 t
tột	t o_5 t
tớt	t 7_4 t
tợt	t 7_5 t
tụt	t u_5 t
tứt	t M_4 t
tựt	t M_5 t
tĩu	t i_3 u
tưu	t M_0 u
tạu	t a_X_5 u 
tảu	t a_X_2 u 
tấu	t 7_X_4 u
tầu	t 7_X_1 u
tẩu	t 7_X_2 u
tẫu	t 7_X_3 u
tậu	t 7_X_5 u
tếu	t e_4 u
tều	t e_1 u
tểu	t e_2 u
tễu	t e_3 u
tệu	t e_5 u
tỉu	t i_2 u
tịu	t i_5 u
tứu	t M_4 u
từu	t M_1 u
tửu	t M_2 u
tữu	t M_3 u
tựu	t M_5 u
tạy	t a_X_5 i 
tảy	t a_X_2 i 
tấy	t 7_X_4 i
tầy	t 7_X_1 i
tẩy	t 7_X_2 i
tẫy	t 7_X_3 i
tậy	t 7_X_5 i
tước	t M@_4 k
tược	t M@_5 k
tươi	t M@_0 i
tưới	t M@_4 i
tười	t M@_1 i
tưởi	t M@_2 i
tưỡi	t M@_3 i
tượi	t M@_5 i
tươm	t M@_0 m
tướm	t M@_4 m
tườm	t M@_1 m
tưởm	t M@_2 m
tưỡm	t M@_3 m
tượm	t M@_5 m
tươn	t M@_0 n
tướn	t M@_4 n
tườn	t M@_1 n
tưởn	t M@_2 n
tưỡn	t M@_3 n
tượn	t M@_5 n
tương	t M@_0 N
tướng	t M@_4 N
tường	t M@_1 N
tưởng	t M@_2 N
tưỡng	t M@_3 N
tượng	t M@_5 N
tướp	t M@_4 p
tượp	t M@_5 p
tướt	t M@_4 t
tượt	t M@_5 t
tươu	t M@_0 u
tướu	t M@_4 u
tườu	t M@_1 u
tưởu	t M@_2 u
tưỡu	t M@_3 u
tượu	t M@_5 u
u	 u_0
ua	 u@_0
ui	 u_0 i
um	 u_0 m
un	 u_0 n
ung	 u_0 Nm 
uy	 w i_0
uya	 w i@_0
uyn	 w i_0 n
uynh	 w i_0 J
uyu	 w i_0 u
uyên	 w i@_0 n
uyến	 w i@_4 n
uyền	 w i@_1 n
uyển	 w i@_2 n
uyễn	 w i@_3 n
uyện	 w i@_5 n
uyết	 w i@_4 t
uyệt	 w i@_5 t
uân	 u 7_X_0 n
uâng	 u 7_X_0 N
uây	 u 7_X_0 i_0
uê	 w e_0
uênh	 w e_0 N_+ 
uôi	 u@_0 i
uôm	 u@_0 m
uôn	 u@_0 n
uông	 u@_0 N
uý	 w i_4
uýa	 w i@_4
uých	 w i_4 k
uýn	 w i_4 n
uýnh	 w i_4 J
uýp	 w i_4 p
uýt	 w i_4 t
uýu	 w i_4 u
uơ	 u_0 7
uế	 w e_4
uề	 w e_1
uể	 w e_2
uễ	 w e_3
uệ	 w e_5
uớ	 u 7_4
uờ	 u 7_1
uở	 u 7_2
uỡ	 u 7_3
uợ	 u 7_5
uỳ	 w i_1
uỵ	 w i_5
uỷ	 w i_2
uỹ	 w i_3
uỳa	 w i@_1
uỵa	 w i@_5
uỷa	 w i@_2
uỹa	 w i@_3
uốc	 u@_4 k
uộc	 u@_5 k
uếch	 w e_4 k_+ 
uệch	 w e_5 k_+ 
uỵch	 w i_5 k
uối	 u@_4 i
uồi	 u@_1 i
uổi	 u@_2 i
uỗi	 u@_3 i
uội	 u@_5 i
uốm	 u@_4 m
uồm	 u@_1 m
uổm	 u@_2 m
uỗm	 u@_3 m
uộm	 u@_5 m
uấn	 u 7_X_4 n
uần	 u 7_X_1 n
uẩn	 u 7_X_2 n
uẫn	 u 7_X_3 n
uận	 u 7_X_5 n
uốn	 u@_4 n
uồn	 u@_1 n
uổn	 u@_2 n
uỗn	 u@_3 n
uộn	 u@_5 n
uỳn	 w i_1 n
uỵn	 w i_5 n
uỷn	 w i_2 n
uỹn	 w i_3 n
uấng	 u 7_X_4 N
uầng	 u 7_X_1 N
uẩng	 u 7_X_2 N
uẫng	 u 7_X_3 N
uậng	 u 7_X_5 N
uống	 u@_4 N
uồng	 u@_1 N
uổng	 u@_2 N
uỗng	 u@_3 N
uộng	 u@_5 N
uếnh	 w e_4 N_+ 
uềnh	 w e_1 N_+ 
uểnh	 w e_2 N_+ 
uễnh	 w e_3 N_+ 
uệnh	 w e_5 N_+ 
uỳnh	 w i_1 J
uỵnh	 w i_5 J
uỷnh	 w i_2 J
uỹnh	 w i_3 J
uốp	 u@_4 p
uộp	 u@_5 p
uỵp	 w i_5 p
uất	 u 7_X_4 t
uật	 u 7_X_5 t
uốt	 u@_4 t
uột	 u@_5 t
uỵt	 w i_5 t
uỳu	 w i_1 u
uỵu	 w i_5 u
uỷu	 w i_2 u
uỹu	 w i_3 u
uấy	 u 7_X_4 i
uầy	 u 7_X_1 i
uẩy	 u 7_X_2 i
uẫy	 u 7_X_3 i
uậy	 u 7_X_5 i
va	v a_0
vai	v a_0 i
vam	v a_0 m
van	v a_0 n
vang	v a_0 N
vanh	v a_0 N_+ 
vao	v a_0 O
vau	v a_X_0 u 
vay	v a_X_0 i 
ve	v E_0
vem	v E_0 m
ven	v E_0 n
veng	v E_0 N
veo	v E_0 O
vi	v i_0
via	v i@_0
vim	v i_0 m
vin	v i_0 n
vinh	v i_0 N_+ 
viu	v i_0 u
viêm	v i@_0 m
viên	v i@_0 n
viêng	v i@_0 N
viêu	v i@_0 u
viếc	v i@_4 k
việc	v i@_5 k
viếm	v i@_4 m
viềm	v i@_1 m
viểm	v i@_2 m
viễm	v i@_3 m
việm	v i@_5 m
viến	v i@_4 n
viền	v i@_1 n
viển	v i@_2 n
viễn	v i@_3 n
viện	v i@_5 n
viếng	v i@_4 N
viềng	v i@_1 N
viểng	v i@_2 N
viễng	v i@_3 N
việng	v i@_5 N
viếp	v i@_4 p
việp	v i@_5 p
viết	v i@_4 t
việt	v i@_5 t
viếu	v i@_4 u
viều	v i@_1 u
viểu	v i@_2 u
viễu	v i@_3 u
việu	v i@_5 u
vo	v O_0
voa	v w a_0
voai	v w a_0 i
voam	v w a_0 m
voan	v w a_0 n
voang	v w a_0 N
voanh	v w a_0 N_+ 
voao	v w a_0 O
voay	v w a_X_0 i 
voe	v w E_0
voem	v w E_0 m
voen	v w E_0 n
voeo	v w E_0 O
voi	v O_0 i
vom	v O_0 m
von	v O_0 n
vong	v O_0 Nm 
voong	v O_0 N
voà	v w a_1
voài	v w a_1 i
voàm	v w a_1 m
voàn	v w a_1 n
voàng	v w a_1 N
voành	v w a_1 N_+ 
voào	v w a_1 O
voày	v w a_X_1 i 
voá	v w a_4
voác	v w a_4 k
voách	v w a_4 k_+ 
voái	v w a_4 i
voám	v w a_4 m
voán	v w a_4 n
voáng	v w a_4 N
voánh	v w a_4 N_+ 
voáo	v w a_4 O
voáp	v w a_4 p
voát	v w a_4 t
voáy	v w a_X_4 i 
voã	v w a_3
voãi	v w a_3 i
voãm	v w a_3 m
voãn	v w a_3 n
voãng	v w a_3 N
voãnh	v w a_3 N_+ 
voão	v w a_3 O
voãy	v w a_X_3 i 
voè	v w E_1
voèm	v w E_1 m
voèn	v w E_1 n
voèo	v w E_1 O
voé	v w E_4
voém	v w E_4 m
voén	v w E_4 n
voéo	v w E_4 O
voét	v w E_4 t
voòng	v O O_1 N
voóc	v O O_4 k
voóng	v O O_4 N
voõng	v O O_3 N
voạ	v w a_5
voả	v w a_2
voẹ	v w E_5
voẻ	v w E_2
voẽ	v w E_3
voạc	v w a_5 k
voắc	v w a_X_4 k
voặc	v w a_X_5 k
voọc	v O O_5 k
voạch	v w a_5 k_+ 
voại	v w a_5 i
voải	v w a_2 i
voăm	v w a_X_0 m
voạm	v w a_5 m
voảm	v w a_2 m
voắm	v w a_X_4 m
voằm	v w a_X_1 m
voẳm	v w a_X_2 m
voẵm	v w a_X_3 m
voặm	v w a_X_5 m
voẹm	v w E_5 m
voẻm	v w E_2 m
voẽm	v w E_3 m
voăn	v w a_X_0 n
voạn	v w a_5 n
voản	v w a_2 n
voắn	v w a_X_4 n
voằn	v w a_X_1 n
voẳn	v w a_X_2 n
voẵn	v w a_X_3 n
voặn	v w a_X_5 n
voẹn	v w E_5 n
voẻn	v w E_2 n
voẽn	v w E_3 n
voăng	v w a_X_0 N
voạng	v w a_5 N
voảng	v w a_2 N
voắng	v w a_X_4 N
voằng	v w a_X_1 N
voẳng	v w a_X_2 N
voẵng	v w a_X_3 N
voặng	v w a_X_5 N
voọng	v O O_5 N
voỏng	v O O_2 N
voạnh	v w a_5 N_+ 
voảnh	v w a_2 N_+ 
voạo	v w a_5 O
voảo	v w a_2 O
voẹo	v w E_5 O
voẻo	v w E_2 O
voẽo	v w E_3 O
voạp	v w a_5 p
voạt	v w a_5 t
voắt	v w a_X_4 t
voặt	v w a_X_5 t
voẹt	v w E_5 t
voạy	v w a_X_5 i 
voảy	v w a_X_2 i 
vu	v u_0
vua	v u@_0
vui	v u_0 i
vum	v u_0 m
vun	v u_0 n
vung	v u_0 Nm 
vuy	v w i_0
vuya	v w i@_0
vuyn	v w i_0 n
vuynh	v w i_0 J
vuyu	v w i_0 u
vuyên	v w i@_0 n
vuyến	v w i@_4 n
vuyền	v w i@_1 n
vuyển	v w i@_2 n
vuyễn	v w i@_3 n
vuyện	v w i@_5 n
vuyết	v w i@_4 t
vuyệt	v w i@_5 t
vuân	v u 7_X_0 n
vuâng	v u 7_X_0 N
vuây	v u 7_X_0 i_0
vuê	v w e_0
vuênh	v w e_0 N_+ 
vuôi	v u@_0 i
vuôm	v u@_0 m
vuôn	v u@_0 n
vuông	v u@_0 N
vuý	v w i_4
vuýa	v w i@_4
vuých	v w i_4 k
vuýn	v w i_4 n
vuýnh	v w i_4 J
vuýp	v w i_4 p
vuýt	v w i_4 t
vuýu	v w i_4 u
vuơ	v u_0 7
vuế	v w e_4
vuề	v w e_1
vuể	v w e_2
vuễ	v w e_3
vuệ	v w e_5
vuớ	v u 7_4
vuờ	v u 7_1
vuở	v u 7_2
vuỡ	v u 7_3
vuợ	v u 7_5
vuỳ	v w i_1
vuỵ	v w i_5
vuỷ	v w i_2
vuỹ	v w i_3
vuỳa	v w i@_1
vuỵa	v w i@_5
vuỷa	v w i@_2
vuỹa	v w i@_3
vuốc	v u@_4 k
vuộc	v u@_5 k
vuếch	v w e_4 k_+ 
vuệch	v w e_5 k_+ 
vuỵch	v w i_5 k
vuối	v u@_4 i
vuồi	v u@_1 i
vuổi	v u@_2 i
vuỗi	v u@_3 i
vuội	v u@_5 i
vuốm	v u@_4 m
vuồm	v u@_1 m
vuổm	v u@_2 m
vuỗm	v u@_3 m
vuộm	v u@_5 m
vuấn	v u 7_X_4 n
vuần	v u 7_X_1 n
vuẩn	v u 7_X_2 n
vuẫn	v u 7_X_3 n
vuận	v u 7_X_5 n
vuốn	v u@_4 n
vuồn	v u@_1 n
vuổn	v u@_2 n
vuỗn	v u@_3 n
vuộn	v u@_5 n
vuỳn	v w i_1 n
vuỵn	v w i_5 n
vuỷn	v w i_2 n
vuỹn	v w i_3 n
vuấng	v u 7_X_4 N
vuầng	v u 7_X_1 N
vuẩng	v u 7_X_2 N
vuẫng	v u 7_X_3 N
vuậng	v u 7_X_5 N
vuống	v u@_4 N
vuồng	v u@_1 N
vuổng	v u@_2 N
vuỗng	v u@_3 N
vuộng	v u@_5 N
vuếnh	v w e_4 N_+ 
vuềnh	v w e_1 N_+ 
vuểnh	v w e_2 N_+ 
vuễnh	v w e_3 N_+ 
vuệnh	v w e_5 N_+ 
vuỳnh	v w i_1 J
vuỵnh	v w i_5 J
vuỷnh	v w i_2 J
vuỹnh	v w i_3 J
vuốp	v u@_4 p
vuộp	v u@_5 p
vuỵp	v w i_5 p
vuất	v u 7_X_4 t
vuật	v u 7_X_5 t
vuốt	v u@_4 t
vuột	v u@_5 t
vuỵt	v w i_5 t
vuỳu	v w i_1 u
vuỵu	v w i_5 u
vuỷu	v w i_2 u
vuỹu	v w i_3 u
vuấy	v u 7_X_4 i
vuầy	v u 7_X_1 i
vuẩy	v u 7_X_2 i
vuẫy	v u 7_X_3 i
vuậy	v u 7_X_5 i
vy	v i_0
và	v a_1
vài	v a_1 i
vàm	v a_1 m
vàn	v a_1 n
vàng	v a_1 N
vành	v a_1 N_+ 
vào	v a_1 O
vàu	v a_X_1 u 
vày	v a_X_1 i 
vá	v a_4
vác	v a_4 k
vách	v a_4 k_+ 
vái	v a_4 i
vám	v a_4 m
ván	v a_4 n
váng	v a_4 N
vánh	v a_4 N_+ 
váo	v a_4 O
váp	v a_4 p
vát	v a_4 t
váu	v a_X_4 u 
váy	v a_X_4 i 
vâm	v 7_X_0 m
vân	v 7_X_0 n
vâng	v 7_X_0 N
vâu	v 7_X_0 u
vây	v 7_X_0 i
vã	v a_3
vãi	v a_3 i
vãm	v a_3 m
vãn	v a_3 n
vãng	v a_3 N
vãnh	v a_3 N_+ 
vão	v a_3 O
vãu	v a_X_3 u 
vãy	v a_X_3 i 
vè	v E_1
vèm	v E_1 m
vèn	v E_1 n
vèng	v E_1 N
vèo	v E_1 O
vé	v E_4
véc	v E_4 k
vém	v E_4 m
vén	v E_4 n
véng	v E_4 N
véo	v E_4 O
vép	v E_4 p
vét	v E_4 t
vê	v e_0
vêm	v e_0 m
vên	v e_0 n
vênh	v e_0 N_+ 
vêu	v e_0 u
vì	v i_1
vìa	v i@_1
vìm	v i_1 m
vìn	v i_1 n
vình	v i_1 N_+ 
vìu	v i_1 u
ví	v i_4
vía	v i@_4
vích	v i_4 k_+ 
vím	v i_4 m
vín	v i_4 n
vính	v i_4 N_+ 
víp	v i_4 p
vít	v i_4 t
víu	v i_4 u
vò	v O_1
vòi	v O_1 i
vòm	v O_1 m
vòn	v O_1 n
vòng	v O_1 Nm 
vó	v O_4
vóc	v kp_4 kp 
vói	v O_4 i
vóm	v O_4 m
vón	v O_4 n
vóng	v O_X_4 Nm 
vóp	v O_4 p
vót	v O_4 t
vô	v o_0
vôi	v o_0 i
vôm	v o_0 m
vôn	v o_0 n
vông	v o_0 Nm 
võ	v O_3
või	v O_3 i
võm	v O_3 m
võn	v O_3 n
võng	v O_3 Nm 
vù	v u_1
vùa	v u@_1
vùi	v u_1 i
vùm	v u_1 m
vùn	v u_1 n
vùng	v u_1 Nm 
vú	v u_4
vúa	v u@_4
vúc	v u_4 kp 
vúi	v u_4 i
vúm	v u_4 m
vún	v u_4 n
vúng	v u_4 Nm 
vúp	v u_4 p
vút	v u_4 t
vý	v i_4
vĩ	v i_3
vũ	v u_3
vơ	v 7_0
vư	v M_0
vạ	v a_5
vả	v a_2
vẹ	v E_5
vẻ	v E_2
vẽ	v E_3
vế	v e_4
về	v e_1
vể	v e_2
vễ	v e_3
vệ	v e_5
vỉ	v i_2
vị	v i_5
vọ	v O_5
vỏ	v O_2
vố	v o_4
vồ	v o_1
vổ	v o_2
vỗ	v o_3
vộ	v o_5
vớ	v 7_4
vờ	v 7_1
vở	v 7_2
vỡ	v 7_3
vợ	v 7_5
vụ	v u_5
vủ	v u_2
vứ	v M_4
vừ	v M_1
vử	v M_2
vữ	v M_3
vự	v M_5
vỳ	v i_1
vỵ	v i_5
vỷ	v i_2
vỹ	v i_3
vĩa	v i@_3
vũa	v u@_3
vưa	v M@_0
vỉa	v i@_2
vịa	v i@_5
vụa	v u@_5
vủa	v u@_2
vứa	v M@_4
vừa	v M@_1
vửa	v M@_2
vữa	v M@_3
vựa	v M@_5
vạc	v a_5 k
vấc	v 7_X_4 k
vậc	v 7_X_5 k
vắc	v a_X_4 k
vặc	v a_X_5 k
vẹc	v E_5 k
vọc	v kp_5 kp 
vốc	v o_4 kp 
vộc	v o_5 kp 
vục	v u_5 kp 
vức	v M_4 k
vực	v M_5 k
vạch	v a_5 k_+ 
vếch	v e_4 k_+ 
vệch	v e_5 k_+ 
vịch	v i_5 k_+ 
vũi	v u_3 i
vơi	v 7_0 i
vưi	v M_0 i
vại	v a_5 i
vải	v a_2 i
vọi	v O_5 i
vỏi	v O_2 i
vối	v o_4 i
vồi	v o_1 i
vổi	v o_2 i
vỗi	v o_3 i
vội	v o_5 i
với	v 7_4 i
vời	v 7_1 i
vởi	v 7_2 i
vỡi	v 7_3 i
vợi	v 7_5 i
vụi	v u_5 i
vủi	v u_2 i
vứi	v M_4 i
vừi	v M_1 i
vửi	v M_2 i
vữi	v M_3 i
vựi	v M_5 i
văm	v a_X_0 m
vĩm	v i_3 m
vũm	v u_3 m
vơm	v 7_0 m
vưm	v M_0 m
vạm	v a_5 m
vảm	v a_2 m
vấm	v 7_X_4 m
vầm	v 7_X_1 m
vẩm	v 7_X_2 m
vẫm	v 7_X_3 m
vậm	v 7_X_5 m
vắm	v a_X_4 m
vằm	v a_X_1 m
vẳm	v a_X_2 m
vẵm	v a_X_3 m
vặm	v a_X_5 m
vẹm	v E_5 m
vẻm	v E_2 m
vẽm	v E_3 m
vếm	v e_4 m
vềm	v e_1 m
vểm	v e_2 m
vễm	v e_3 m
vệm	v e_5 m
vỉm	v i_2 m
vịm	v i_5 m
vọm	v O_5 m
vỏm	v O_2 m
vốm	v o_4 m
vồm	v o_1 m
vổm	v o_2 m
vỗm	v o_3 m
vộm	v o_5 m
vớm	v 7_4 m
vờm	v 7_1 m
vởm	v 7_2 m
vỡm	v 7_3 m
vợm	v 7_5 m
vụm	v u_5 m
vủm	v u_2 m
vứm	v M_4 m
vừm	v M_1 m
vửm	v M_2 m
vữm	v M_3 m
vựm	v M_5 m
văn	v a_X_0 n
vĩn	v i_3 n
vũn	v u_3 n
vơn	v 7_0 n
vưn	v M_0 n
vạn	v a_5 n
vản	v a_2 n
vấn	v 7_X_4 n
vần	v 7_X_1 n
vẩn	v 7_X_2 n
vẫn	v 7_X_3 n
vận	v 7_X_5 n
vắn	v a_X_4 n
vằn	v a_X_1 n
vẳn	v a_X_2 n
vẵn	v a_X_3 n
vặn	v a_X_5 n
vẹn	v E_5 n
vẻn	v E_2 n
vẽn	v E_3 n
vến	v e_4 n
vền	v e_1 n
vển	v e_2 n
vễn	v e_3 n
vện	v e_5 n
vỉn	v i_2 n
vịn	v i_5 n
vọn	v O_5 n
vỏn	v O_2 n
vốn	v o_4 n
vồn	v o_1 n
vổn	v o_2 n
vỗn	v o_3 n
vộn	v o_5 n
vớn	v 7_4 n
vờn	v 7_1 n
vởn	v 7_2 n
vỡn	v 7_3 n
vợn	v 7_5 n
vụn	v u_5 n
vủn	v u_2 n
vứn	v M_4 n
vừn	v M_1 n
vửn	v M_2 n
vữn	v M_3 n
vựn	v M_5 n
văng	v a_X_0 N
vũng	v u_3 Nm 
vưng	v M_0 N
vạng	v a_5 N
vảng	v a_2 N
vấng	v 7_X_4 N
vầng	v 7_X_1 N
vẩng	v 7_X_2 N
vẫng	v 7_X_3 N
vậng	v 7_X_5 N
vắng	v a_X_4 N
vằng	v a_X_1 N
vẳng	v a_X_2 N
vẵng	v a_X_3 N
vặng	v a_X_5 N
vẹng	v E_5 N
vẻng	v E_2 N
vẽng	v E_3 N
vọng	v O_5 Nm 
vỏng	v O_2 Nm 
vống	v o_4 Nm 
vồng	v o_1 Nm 
vổng	v o_2 Nm 
vỗng	v o_3 Nm 
vộng	v o_5 Nm 
vụng	v u_5 Nm 
vủng	v u_2 Nm 
vứng	v M_4 N
vừng	v M_1 N
vửng	v M_2 N
vững	v M_3 N
vựng	v M_5 N
vĩnh	v i_3 N_+ 
vạnh	v a_5 N_+ 
vảnh	v a_2 N_+ 
vếnh	v e_4 N_+ 
vềnh	v e_1 N_+ 
vểnh	v e_2 N_+ 
vễnh	v e_3 N_+ 
vệnh	v e_5 N_+ 
vỉnh	v i_2 N_+ 
vịnh	v i_5 N_+ 
vạo	v a_5 O
vảo	v a_2 O
vẹo	v E_5 O
vẻo	v E_2 O
vẽo	v E_3 O
vạp	v a_5 p
vấp	v 7_X_4 p
vập	v 7_X_5 p
vắp	v a_X_4 p
vặp	v a_X_5 p
vẹp	v E_5 p
vếp	v e_4 p
vệp	v e_5 p
vịp	v i_5 p
vọp	v O_5 p
vốp	v o_4 p
vộp	v o_5 p
vớp	v 7_4 p
vợp	v 7_5 p
vụp	v u_5 p
vạt	v a_5 t
vất	v 7_X_4 t
vật	v 7_X_5 t
vắt	v a_X_4 t
vặt	v a_X_5 t
vẹt	v E_5 t
vết	v e_4 t
vệt	v e_5 t
vịt	v i_5 t
vọt	v O_5 t
vốt	v o_4 t
vột	v o_5 t
vớt	v 7_4 t
vợt	v 7_5 t
vụt	v u_5 t
vứt	v M_4 t
vựt	v M_5 t
vĩu	v i_3 u
vưu	v M_0 u
vạu	v a_X_5 u 
vảu	v a_X_2 u 
vấu	v 7_X_4 u
vầu	v 7_X_1 u
vẩu	v 7_X_2 u
vẫu	v 7_X_3 u
vậu	v 7_X_5 u
vếu	v e_4 u
vều	v e_1 u
vểu	v e_2 u
vễu	v e_3 u
vệu	v e_5 u
vỉu	v i_2 u
vịu	v i_5 u
vứu	v M_4 u
vừu	v M_1 u
vửu	v M_2 u
vữu	v M_3 u
vựu	v M_5 u
vạy	v a_X_5 i 
vảy	v a_X_2 i 
vấy	v 7_X_4 i
vầy	v 7_X_1 i
vẩy	v 7_X_2 i
vẫy	v 7_X_3 i
vậy	v 7_X_5 i
vước	v M@_4 k
vược	v M@_5 k
vươi	v M@_0 i
vưới	v M@_4 i
vười	v M@_1 i
vưởi	v M@_2 i
vưỡi	v M@_3 i
vượi	v M@_5 i
vươm	v M@_0 m
vướm	v M@_4 m
vườm	v M@_1 m
vưởm	v M@_2 m
vưỡm	v M@_3 m
vượm	v M@_5 m
vươn	v M@_0 n
vướn	v M@_4 n
vườn	v M@_1 n
vưởn	v M@_2 n
vưỡn	v M@_3 n
vượn	v M@_5 n
vương	v M@_0 N
vướng	v M@_4 N
vường	v M@_1 N
vưởng	v M@_2 N
vưỡng	v M@_3 N
vượng	v M@_5 N
vướp	v M@_4 p
vượp	v M@_5 p
vướt	v M@_4 t
vượt	v M@_5 t
vươu	v M@_0 u
vướu	v M@_4 u
vườu	v M@_1 u
vưởu	v M@_2 u
vưỡu	v M@_3 u
vượu	v M@_5 u
xa	s a_0
xai	s a_0 i
xam	s a_0 m
xan	s a_0 n
xang	s a_0 N
xanh	s a_0 N_+ 
xao	s a_0 O
xau	s a_X_0 u 
xay	s a_X_0 i 
xe	s E_0
xem	s E_0 m
xen	s E_0 n
xeng	s E_0 N
xeo	s E_0 O
xi	s i_0
xia	s i@_0
xim	s i_0 m
xin	s i_0 n
xinh	s i_0 N_+ 
xiu	s i_0 u
xiêm	s i@_0 m
xiên	s i@_0 n
xiêng	s i@_0 N
xiêu	s i@_0 u
xiếc	s i@_4 k
xiệc	s i@_5 k
xiếm	s i@_4 m
xiềm	s i@_1 m
xiểm	s i@_2 m
xiễm	s i@_3 m
xiệm	s i@_5 m
xiến	s i@_4 n
xiền	s i@_1 n
xiển	s i@_2 n
xiễn	s i@_3 n
xiện	s i@_5 n
xiếng	s i@_4 N
xiềng	s i@_1 N
xiểng	s i@_2 N
xiễng	s i@_3 N
xiệng	s i@_5 N
xiếp	s i@_4 p
xiệp	s i@_5 p
xiết	s i@_4 t
xiệt	s i@_5 t
xiếu	s i@_4 u
xiều	s i@_1 u
xiểu	s i@_2 u
xiễu	s i@_3 u
xiệu	s i@_5 u
xo	s O_0
xoa	s w a_0
xoai	s w a_0 i
xoam	s w a_0 m
xoan	s w a_0 n
xoang	s w a_0 N
xoanh	s w a_0 N_+ 
xoao	s w a_0 O
xoay	s w a_X_0 i 
xoe	s w E_0
xoem	s w E_0 m
xoen	s w E_0 n
xoeo	s w E_0 O
xoi	s O_0 i
xom	s O_0 m
xon	s O_0 n
xong	s O_0 Nm 
xoong	s O_0 N
xoà	s w a_1
xoài	s w a_1 i
xoàm	s w a_1 m
xoàn	s w a_1 n
xoàng	s w a_1 N
xoành	s w a_1 N_+ 
xoào	s w a_1 O
xoày	s w a_X_1 i 
xoá	s w a_4
xoác	s w a_4 k
xoách	s w a_4 k_+ 
xoái	s w a_4 i
xoám	s w a_4 m
xoán	s w a_4 n
xoáng	s w a_4 N
xoánh	s w a_4 N_+ 
xoáo	s w a_4 O
xoáp	s w a_4 p
xoát	s w a_4 t
xoáy	s w a_X_4 i 
xoã	s w a_3
xoãi	s w a_3 i
xoãm	s w a_3 m
xoãn	s w a_3 n
xoãng	s w a_3 N
xoãnh	s w a_3 N_+ 
xoão	s w a_3 O
xoãy	s w a_X_3 i 
xoè	s w E_1
xoèm	s w E_1 m
xoèn	s w E_1 n
xoèo	s w E_1 O
xoé	s w E_4
xoém	s w E_4 m
xoén	s w E_4 n
xoéo	s w E_4 O
xoét	s w E_4 t
xoòng	s O O_1 N
xoóc	s O O_4 k
xoóng	s O O_4 N
xoõng	s O O_3 N
